annotation_text	cl_id	cl_label	article_id_pmc	enrichment	grounding_cl_id	grounding_cl_label	result
Neutrophil	CL:0000775	neutrophil	10012539	{'name': 'Neutrophil', 'full_name': 'Neutrophil', 'paper_synonyms': '', 'tissue_context': ''}	CL:0000775	neutrophil	TRUE
Macrophage	CL:0000235	macrophage	10012539	{'name': 'Macrophage', 'full_name': 'Macrophage', 'paper_synonyms': '', 'tissue_context': ''}	CL:0000235	macrophage	TRUE
Dendritic cell	CL:0000451	dendritic cell	10012539	{'name': 'Dendritic cell', 'full_name': 'Dendritic cell', 'paper_synonyms': '', 'tissue_context': ''}	CL:0000451	dendritic cell	TRUE
B cell	CL:0000236	B cell	10012539	{'name': 'B cell', 'full_name': 'B cell', 'paper_synonyms': '', 'tissue_context': ''}	CL:0000236	B cell	TRUE
Pro-B cell	CL:0000826	pro-B cell	10012539	{'name': 'Pro-B cell', 'full_name': 'Pro-B cell', 'paper_synonyms': '', 'tissue_context': ''}	CL:0000826	pro-B cell	TRUE
T cell	CL:0000084	T cell	10012539	{'name': 'T cell', 'full_name': 'T cell', 'paper_synonyms': '', 'tissue_context': ''}	CL:0000084	T cell	TRUE
Natural killer cell	CL:0000623	natural killer cell	10012539	{'name': 'Natural killer cell', 'full_name': 'Natural killer cell', 'paper_synonyms': '', 'tissue_context': ''}	CL:0000623	natural killer cell	TRUE
Megakaryocyte	CL:0000556	megakaryocyte	10012539	{'name': 'Megakaryocyte', 'full_name': 'Megakaryocyte', 'paper_synonyms': '', 'tissue_context': ''}	CL:0000556	megakaryocyte	TRUE
Erythrocyte	CL:0000232	erythrocyte	10012539	{'name': 'Erythrocyte', 'full_name': 'Erythrocyte', 'paper_synonyms': '', 'tissue_context': ''}	CL:0000232	erythrocyte	TRUE
Mesenchymal cell	CL:0008019	mesenchymal cell	10012539	{'name': 'Mesenchymal cell', 'full_name': 'Mesenchymal cell', 'paper_synonyms': '', 'tissue_context': ''}	CL:0008019	mesenchymal cell	TRUE
Myeloid progenitor	CL:0000049	common myeloid progenitor	10012539	{'name': 'Myeloid progenitor', 'full_name': 'Myeloid progenitor', 'paper_synonyms': '', 'tissue_context': ''}	CL:0000839	myeloid lineage restricted progenitor cell	FALSE
Endothelial Cell	CL:0000115	endothelial cell	10662149	{'name': 'Endothelial Cell', 'full_name': 'Endothelial Cell', 'paper_synonyms': None, 'tissue_context': ''}	CL:0000115	endothelial cell	TRUE
Epithelial Cell	CL:0000066	epithelial cell	10662149	{'name': 'Epithelial Cell', 'full_name': 'Epithelial Cell', 'paper_synonyms': None, 'tissue_context': ''}	CL:0000066	epithelial cell	TRUE
Fibroblast	CL:0000057	fibroblast	10662149	{'name': 'Fibroblast', 'full_name': 'Fibroblast', 'paper_synonyms': None, 'tissue_context': ''}	CL:0000057	fibroblast	TRUE
Granulosa Cell	CL:0000501	granulosa cell	10662149	{'name': 'Granulosa Cell', 'full_name': 'Granulosa Cell', 'paper_synonyms': None, 'tissue_context': ''}	CL:0000501	granulosa cell	TRUE
Leydig Cell	CL:0000178	Leydig cell	10662149	{'name': 'Leydig Cell', 'full_name': 'Leydig Cell', 'paper_synonyms': None, 'tissue_context': ''}	CL:0000178	Leydig cell	TRUE
M1 Macrophage	CL:0000863	inflammatory macrophage	10662149	{'name': 'M1 Macrophage', 'full_name': 'M1 Macrophage', 'paper_synonyms': None, 'tissue_context': ''}	CL:0000863	inflammatory macrophage	TRUE
M2 Macrophage	CL:0000890	alternatively activated macrophage	10662149	{'name': 'M2 Macrophage', 'full_name': 'M2 Macrophage', 'paper_synonyms': None, 'tissue_context': ''}	CL:0000890	alternatively activated macrophage	TRUE
Memory T Cell	CL:0000813	memory T cell	10662149	{'name': 'Memory T Cell', 'full_name': 'Memory T Cell', 'paper_synonyms': None, 'tissue_context': ''}	CL:0000813	memory T cell	TRUE
Mesenchymal Cell	CL:0008019	mesenchymal cell	10662149	{'name': 'Mesenchymal Cell', 'full_name': 'Mesenchymal Cell', 'paper_synonyms': None, 'tissue_context': ''}	CL:0008019	mesenchymal cell	TRUE
Progenitor Cell	CL:0011026	progenitor cell	10662149	{'name': 'Progenitor Cell', 'full_name': None, 'paper_synonyms': None, 'tissue_context': ''}	CL:0011026	progenitor cell	TRUE
Naive B Cell	CL:0000788	naive B cell	10662149	{'name': 'Naive B Cell', 'full_name': 'Naive B Cell', 'paper_synonyms': None, 'tissue_context': ''}	CL:0000788	naive B cell	TRUE
Natural Killer (NK) Cell	CL:0000623	natural killer cell	10662149	{'name': 'Natural Killer (NK) Cell', 'full_name': 'Natural Killer (NK) Cell', 'paper_synonyms': 'NK Cell', 'tissue_context': ''}	CL:0000623	natural killer cell	TRUE
Natural Killer T (NKT) Cell	CL:0000814	mature NK T cell	10662149	{'name': 'Natural Killer T (NKT) Cell', 'full_name': 'Natural Killer T (NKT) Cell', 'paper_synonyms': 'NKT Cell', 'tissue_context': ''}	CL:0000814	mature NK T cell	TRUE
Neutrophil	CL:0000775	neutrophil	10662149	{'name': 'Neutrophil', 'full_name': 'Neutrophil', 'paper_synonyms': None, 'tissue_context': ''}	CL:0000775	neutrophil	TRUE
Plasma Cell	CL:0000786	plasma cell	10662149	{'name': 'Plasma Cell', 'full_name': 'Plasma Cell', 'paper_synonyms': None, 'tissue_context': ''}	CL:0000786	plasma cell	TRUE
Plasmacytoid Dendritic Cell	CL:0000784	plasmacytoid dendritic cell	10662149	{'name': 'Plasmacytoid Dendritic Cell', 'full_name': 'Plasmacytoid Dendritic Cell', 'paper_synonyms': None, 'tissue_context': ''}	CL:0000784	plasmacytoid dendritic cell	TRUE
Regulatory T (Treg) Cell	CL:0000815	regulatory T cell	10662149	{'name': 'Regulatory T (Treg) Cell', 'full_name': 'Regulatory T (Treg) Cell', 'paper_synonyms': 'Treg Cell', 'tissue_context': ''}	CL:0000815	regulatory T cell	TRUE
T Helper Cell	CL:0000912	helper T cell	10662149	{'name': 'T Helper Cell', 'full_name': 'T Helper Cell', 'paper_synonyms': None, 'tissue_context': ''}	CL:0000912	helper T cell	TRUE
DC	CL:0000451	dendritic cell	10611473	{'name': 'DC', 'full_name': 'dendritic cell', 'paper_synonyms': 'dendritic cell', 'tissue_context': ''}	CL:0000451	dendritic cell	TRUE
mesenchymal cells	CL:0008019	mesenchymal cell	10576811	{'name': 'mesenchymal cells', 'full_name': 'mesenchymal cells', 'paper_synonyms': None, 'tissue_context': ''}	CL:0008019	mesenchymal cell	TRUE
MECs	CL:0000185	myoepithelial cell	10576811	{'name': 'MECs', 'full_name': 'myoepithelial cells', 'paper_synonyms': 'MEC; myoepithelial cells', 'tissue_context': ''}	CL:0000185	myoepithelial cell	TRUE
acinar cells	CL:0000622	acinar cell	10576811	{'name': 'acinar cells', 'full_name': 'acinar cells', 'paper_synonyms': None, 'tissue_context': ''}	CL:0000622	acinar cell	TRUE
acinar and MECs	CL:0000622	acinar cell	10576811	{'name': 'acinar and MECs', 'full_name': 'acinar and myoepithelial cells', 'paper_synonyms': 'myoepithelial cells; MECs; MEC', 'tissue_context': ''}	NO MATCH found		FALSE
acinar	CL:0000622	acinar cell	10576811	{'name': 'acinar', 'full_name': 'acinar cells', 'paper_synonyms': None, 'tissue_context': ''}	CL:0000622	acinar cell	TRUE
MEC	CL:0000185	myoepithelial cell	10576811	{'name': 'MEC', 'full_name': 'myoepithelial cells', 'paper_synonyms': 'MECs; myoepithelial cells', 'tissue_context': ''}	CL:0000185	myoepithelial cell	TRUE
basal cells	CL:0000646	basal cell	10576811	{'name': 'basal cells', 'full_name': 'basal cells', 'paper_synonyms': 'basal duct cells', 'tissue_context': ''}	CL:0000646	basal cell	TRUE
interneuron	CL:0008031	cortical interneuron	10332811	{'name': 'interneuron', 'full_name': 'GABAergic interneuron', 'paper_synonyms': 'inhibitory interneuron; GABAergic interneuron', 'tissue_context': ''}	CL:0011005	GABAergic interneuron	FALSE
pyramidal	CL:4023111	cerebral cortex pyramidal neuron	10332811	{'name': 'pyramidal', 'full_name': 'pyramidal neuron', 'paper_synonyms': 'pyramidal neuron; pyramidal cell; excitatory pyramidal neuron; Pyr', 'tissue_context': ''}	CL:0000598	pyramidal neuron	FALSE
T cells	CL:0000084	T cell	10040725	{'name': 'T cells', 'full_name': 'T lymphocytes', 'paper_synonyms': 'T lymphocytes', 'tissue_context': ''}	CL:0000084	T cell	TRUE
T lymphocytes	CL:0000084	T cell	10040725	{'name': 'T lymphocytes', 'full_name': 'T lymphocytes', 'paper_synonyms': 'T cells', 'tissue_context': ''}	CL:0000084	T cell	TRUE
CD8+ T cells	CL:0000625	CD8-positive, alpha-beta T cell	10040725	{'name': 'CD8+ T cells', 'full_name': 'CD8+ T cells', 'paper_synonyms': 'CD8+ T lymphocytes', 'tissue_context': ''}	CL:0000625	CD8-positive, alpha-beta T cell	TRUE
CD4+ T cells	CL:0000624	CD4-positive, alpha-beta T cell	10040725	{'name': 'CD4+ T cells', 'full_name': 'CD4+ T cells', 'paper_synonyms': 'CD4+ T lymphocytes', 'tissue_context': ''}	CL:0000624	CD4-positive, alpha-beta T cell	TRUE
CD8+ MAIT	CL:0000940	mucosal invariant T cell	10040725	{'name': 'CD8+ MAIT', 'full_name': 'CD8+ mucosa‐associated invariant T cells', 'paper_synonyms': 'MAIT; mucosa‐associated invariant', 'tissue_context': ''}	CL:0000940	mucosal invariant T cell	TRUE
CD8+ Naive	CL:0000900	naive thymus-derived CD8-positive, alpha-beta T cell	10040725	{'name': 'CD8+ Naive', 'full_name': 'CD8+ naïve T cells', 'paper_synonyms': 'Tn', 'tissue_context': ''}	CL:0000900	naive thymus-derived CD8-positive, alpha-beta T cell	TRUE
CD8+ intraepithelial lymphocytes	CL:0000796	CD8-alpha-beta-positive, alpha-beta intraepithelial T cell	10040725	{'name': 'CD8+ intraepithelial lymphocytes', 'full_name': 'CD8+ intraepithelial lymphocytes', 'paper_synonyms': 'IEL; intraepithelial lymphocytes', 'tissue_context': ''}	CL:0000796	CD8-alpha-beta-positive, alpha-beta intraepithelial T cell	TRUE
IEL	CL:0000796	CD8-alpha-beta-positive, alpha-beta intraepithelial T cell	10040725	{'name': 'IEL', 'full_name': 'intraepithelial lymphocytes', 'paper_synonyms': 'intraepithelial lymphocytes', 'tissue_context': ''}	CL:0002496	intraepithelial lymphocyte	FALSE
CD8+ Tem	CL:0000913	effector memory CD8-positive, alpha-beta T cell	10040725	{'name': 'CD8+ Tem', 'full_name': 'CD8+ effector memory T cells', 'paper_synonyms': 'Tem; effector memory', 'tissue_context': ''}	CL:0000913	effector memory CD8-positive, alpha-beta T cell	TRUE
CD8+ Temra	CL:0001062	effector memory CD8-positive, alpha-beta T cell, terminally differentiated	10040725	{'name': 'CD8+ Temra', 'full_name': 'CD8+ recently activated effector memory T cells', 'paper_synonyms': 'TemRA; recently activated effector memory', 'tissue_context': ''}	CL:0001062	effector memory CD8-positive, alpha-beta T cell, terminally differentiated	TRUE
CD4+ Tem	CL:0000905	effector memory CD4-positive, alpha-beta T cell	10040725	{'name': 'CD4+ Tem', 'full_name': 'CD4+ effector memory T cells', 'paper_synonyms': 'Tem; effector memory', 'tissue_context': ''}	CL:0000905	effector memory CD4-positive, alpha-beta T cell	TRUE
CD4+ Th17	CL:0000899	T-helper 17 cell	10040725	{'name': 'CD4+ Th17', 'full_name': 'CD4+ Th17 T cells', 'paper_synonyms': 'Th17; Th17 T cells', 'tissue_context': ''}	CL:0000899	T-helper 17 cell	TRUE
CD4+ Naive	CL:0000895	naive thymus-derived CD4-positive, alpha-beta T cell	10040725	{'name': 'CD4+ Naive', 'full_name': 'CD4+ naïve T cells', 'paper_synonyms': 'naïve T cells', 'tissue_context': ''}	CL:0000895	naive thymus-derived CD4-positive, alpha-beta T cell	TRUE
CD4+ Treg	CL:0000792	CD4-positive, CD25-positive, alpha-beta regulatory T cell	10040725	{'name': 'CD4+ Treg', 'full_name': 'CD4+ regulatory T cells', 'paper_synonyms': 'Tregs; regulatory T cells', 'tissue_context': ''}	CL:0000815	regulatory T cell	FALSE
CD8+ T cell	CL:0000625	CD8-positive, alpha-beta T cell	10040725	{'name': 'CD8+ T cell', 'full_name': 'CD8+ T cells', 'paper_synonyms': 'CD8+ T lymphocytes', 'tissue_context': ''}	CL:0000625	CD8-positive, alpha-beta T cell	TRUE
CD4+ T cell	CL:0000624	CD4-positive, alpha-beta T cell	10040725	{'name': 'CD4+ T cell', 'full_name': 'CD4+ T cells', 'paper_synonyms': 'CD4+ T lymphocytes', 'tissue_context': ''}	CL:0000624	CD4-positive, alpha-beta T cell	TRUE
CD8+ T lymphocytes	CL:0000625	CD8-positive, alpha-beta T cell	10040725	{'name': 'CD8+ T lymphocytes', 'full_name': 'CD8+ T lymphocytes', 'paper_synonyms': 'CD8+ T cells', 'tissue_context': ''}	CL:0000625	CD8-positive, alpha-beta T cell	TRUE
CD4+ T lymphocytes	CL:0000624	CD4-positive, alpha-beta T cell	10040725	{'name': 'CD4+ T lymphocytes', 'full_name': 'CD4+ T lymphocytes', 'paper_synonyms': 'CD4+ T cells', 'tissue_context': ''}	CL:0000624	CD4-positive, alpha-beta T cell	TRUE
MECs	CL:0000185	myoepithelial cell	10216974	{'name': 'MECs', 'full_name': 'myoepithelial cells', 'paper_synonyms': 'myoepithelial cells', 'tissue_context': ''}	CL:0000185	myoepithelial cell	TRUE
stem cells	CL:0000034	stem cell	10216974	{'name': 'stem cells', 'full_name': 'stem cells', 'paper_synonyms': None, 'tissue_context': ''}	CL:0000034	stem cell	TRUE
mammary ductal cells	CL:0002326	luminal epithelial cell of mammary gland	10216974	{'name': 'mammary ductal cells', 'full_name': 'mammary ductal cells', 'paper_synonyms': None, 'tissue_context': ''}	CL:0002326	luminal epithelial cell of mammary gland	TRUE
tubular cells	CL:1000507	kidney tubule cell	10216974	{'name': 'tubular cells', 'full_name': 'tubular cells', 'paper_synonyms': None, 'tissue_context': ''}	CL:0000066	epithelial cell	FALSE
corneal limbal stem cells	CL:4033093	limbal epithelial stem cell of cornea	10216974	{'name': 'corneal limbal stem cells', 'full_name': 'corneal limbal stem cells', 'paper_synonyms': None, 'tissue_context': ''}	CL:4033093	limbal epithelial stem cell of cornea	TRUE
stem/progenitor cells	CL:0000034	stem cell	10216974	{'name': 'stem/progenitor cells', 'full_name': 'stem/progenitor cells', 'paper_synonyms': None, 'tissue_context': ''}	CL:0011115	precursor cell	FALSE
M1 macrophages	CL:0000863	inflammatory macrophage	10105558	{'name': 'M1 macrophages', 'full_name': 'M1 macrophages', 'paper_synonyms': None, 'tissue_context': ''}	CL:0000863	inflammatory macrophage	TRUE
naive B cells	CL:0000788	naive B cell	10105558	{'name': 'naive B cells', 'full_name': 'naïve B cells', 'paper_synonyms': None, 'tissue_context': ''}	CL:0000788	naive B cell	TRUE
neutrophils	CL:0000775	neutrophil	10105558	{'name': 'neutrophils', 'full_name': 'neutrophils', 'paper_synonyms': None, 'tissue_context': ''}	CL:0000775	neutrophil	TRUE
CD8 T cells	CL:0000625	CD8-positive, alpha-beta T cell	10105558	{'name': 'CD8 T cells', 'full_name': 'CD8 T cells', 'paper_synonyms': None, 'tissue_context': ''}	CL:0000625	CD8-positive, alpha-beta T cell	TRUE
Tregs	CL:0000815	regulatory T cell	10105558	{'name': 'Tregs', 'full_name': 'T regulatory cells', 'paper_synonyms': 'T regulatory cells; T-regulatory cells', 'tissue_context': ''}	CL:0000815	regulatory T cell	TRUE
M2 macrophages	CL:0000890	alternatively activated macrophage	10105558	{'name': 'M2 macrophages', 'full_name': 'M2 macrophages', 'paper_synonyms': None, 'tissue_context': ''}	CL:0000890	alternatively activated macrophage	TRUE
pancreatic islet cells	CL:0008024	pancreatic endocrine cell	10498638	{'name': 'pancreatic islet cells', 'full_name': 'pancreatic islet cells', 'paper_synonyms': 'islet cells; primary pancreatic islet cells', 'tissue_context': ''}	CL:0008024	pancreatic endocrine cell	TRUE
IHC	CL:0000589	cochlear inner hair cell	10147377	{'name': 'IHC', 'full_name': 'inner hair cell', 'paper_synonyms': 'inner hair cell', 'tissue_context': ''}	CL:0000589	cochlear inner hair cell	TRUE
inner hair cell	CL:0000589	cochlear inner hair cell	10147377	{'name': 'inner hair cell', 'full_name': 'inner hair cell', 'paper_synonyms': 'IHC', 'tissue_context': ''}	CL:0000589	cochlear inner hair cell	TRUE
OHC	CL:0000601	cochlear outer hair cell	10147377	{'name': 'OHC', 'full_name': 'outer hair cell', 'paper_synonyms': 'outer hair cell', 'tissue_context': ''}	CL:0000601	cochlear outer hair cell	TRUE
outer hair cell	CL:0000601	cochlear outer hair cell	10147377	{'name': 'outer hair cell', 'full_name': 'outer hair cell', 'paper_synonyms': 'OHC', 'tissue_context': ''}	CL:0000601	cochlear outer hair cell	TRUE
SGN	CL:0011113	spiral ganglion neuron	10147377	{'name': 'SGN', 'full_name': 'spiral ganglion neuron', 'paper_synonyms': 'spiral ganglion neuron', 'tissue_context': ''}	CL:0011113	spiral ganglion neuron	TRUE
spiral ganglion neuron	CL:0011113	spiral ganglion neuron	10147377	{'name': 'spiral ganglion neuron', 'full_name': 'spiral ganglion neuron', 'paper_synonyms': 'SGN', 'tissue_context': ''}	CL:0011113	spiral ganglion neuron	TRUE
motor neuron	CL:0000100	motor neuron	10147377	{'name': 'motor neuron', 'full_name': 'motor neuron', 'paper_synonyms': None, 'tissue_context': ''}	CL:0000100	motor neuron	TRUE
neuronal	CL:0000540	neuron	10147377	{'name': 'neuronal', 'full_name': None, 'paper_synonyms': None, 'tissue_context': ''}	CL:0000540	neuron	TRUE
oligodendrocyte	CL:0000128	oligodendrocyte	10147377	{'name': 'oligodendrocyte', 'full_name': 'oligodendrocyte', 'paper_synonyms': None, 'tissue_context': ''}	CL:0000128	oligodendrocyte	TRUE
brainstem motor neurons	CL:2000047	brainstem motor neuron	10147377	{'name': 'brainstem motor neurons', 'full_name': 'brainstem motor neurons', 'paper_synonyms': None, 'tissue_context': ''}	CL:2000047	brainstem motor neuron	TRUE
endocrine	CL:0008024	pancreatic endocrine cell	10313850	{'name': 'endocrine', 'full_name': 'endocrine cells', 'paper_synonyms': 'islet cells; Langerhans islet cells', 'tissue_context': ''}	CL:0000163	endocrine cell	FALSE
exocrine cells	CL:1001599	pancreas exocrine glandular cell	10313850	{'name': 'exocrine cells', 'full_name': 'exocrine pancreatic cells', 'paper_synonyms': None, 'tissue_context': ''}	CL:1001433	epithelial cell of exocrine pancreas	FALSE
endocrine and exocrine cells	CL:0008024	pancreatic endocrine cell	10313850	{'name': 'endocrine and exocrine cells', 'full_name': 'endocrine and exocrine pancreatic cells', 'paper_synonyms': None, 'tissue_context': ''}	NO MATCH found		FALSE
exocrine acinar cells	CL:0002064	pancreatic acinar cell	10313850	{'name': 'exocrine acinar cells', 'full_name': 'acinar cells of the exocrine pancreas', 'paper_synonyms': 'acinar cells', 'tissue_context': ''}	CL:0002064	pancreatic acinar cell	TRUE
islet cells	CL:0008024	pancreatic endocrine cell	10313850	{'name': 'islet cells', 'full_name': 'Langerhans islet cells', 'paper_synonyms': None, 'tissue_context': ''}	CL:0008024	pancreatic endocrine cell	TRUE
cardiomyocytes	CL:0000746	cardiac muscle cell	10394006	{'name': 'cardiomyocytes', 'full_name': 'cardiomyocytes', 'paper_synonyms': 'beating cardiomyocytes; CMCs', 'tissue_context': ''}	CL:0000746	cardiac muscle cell	TRUE
CMCs	CL:0000746	cardiac muscle cell	10394006	{'name': 'CMCs', 'full_name': 'beating cardiomyocytes', 'paper_synonyms': 'beating cardiomyocytes', 'tissue_context': ''}	CL:0000746	cardiac muscle cell	TRUE
cardiac	CL:0002494	cardiocyte	10394006	{'name': 'cardiac', 'full_name': None, 'paper_synonyms': None, 'tissue_context': ''}	CL:0000746	cardiac muscle cell	FALSE
fibroblast	CL:0000057	fibroblast	10463598	{'name': 'fibroblast', 'full_name': 'fibroblast', 'paper_synonyms': None, 'tissue_context': ''}	CL:0000057	fibroblast	TRUE
synovial macrophage	CL:0002302	type A synovial cell	10204300	{'name': 'synovial macrophage', 'full_name': 'synovial macrophage', 'paper_synonyms': None, 'tissue_context': ''}	CL:0002302	type A synovial cell	TRUE
Lin-Sca-1 + c-Kit +	CL:0001008	Kit and Sca1-positive hematopoietic stem cell	10244168	{'name': 'Lin-Sca-1 + c-Kit +', 'full_name': 'Lin-Sca-1+ c-Kit+', 'paper_synonyms': 'LSK', 'tissue_context': ''}	CL:0001008	Kit and Sca1-positive hematopoietic stem cell	TRUE
LSK	CL:0001008	Kit and Sca1-positive hematopoietic stem cell	10244168	{'name': 'LSK', 'full_name': 'Lin-Sca-1+ c-Kit+', 'paper_synonyms': 'Lin-Sca-1+ c-Kit+', 'tissue_context': ''}	CL:0001008	Kit and Sca1-positive hematopoietic stem cell	TRUE
multipotent progenitors	CL:0000837	hematopoietic multipotent progenitor cell	10244168	{'name': 'multipotent progenitors', 'full_name': 'multipotent progenitors', 'paper_synonyms': 'MPPs', 'tissue_context': ''}	CL:0000837	hematopoietic multipotent progenitor cell	TRUE
MPPs	CL:0000837	hematopoietic multipotent progenitor cell	10244168	{'name': 'MPPs', 'full_name': 'multipotent progenitors', 'paper_synonyms': 'multipotent progenitors', 'tissue_context': ''}	CL:0000837	hematopoietic multipotent progenitor cell	TRUE
long-term HSCs	CL:0002034	long term hematopoietic stem cell	10244168	{'name': 'long-term HSCs', 'full_name': 'long-term hematopoietic stem cells', 'paper_synonyms': 'HSC LT', 'tissue_context': ''}	CL:0002034	long term hematopoietic stem cell	TRUE
HSCLT	CL:0002034	long term hematopoietic stem cell	10244168	{'name': 'HSCLT', 'full_name': 'long-term hematopoietic stem cells', 'paper_synonyms': 'HSC LT; long-term HSCs', 'tissue_context': ''}	CL:0002034	long term hematopoietic stem cell	TRUE
short-term HSCs	CL:0002033	short term hematopoietic stem cell	10244168	{'name': 'short-term HSCs', 'full_name': 'short-term hematopoietic stem cells', 'paper_synonyms': 'HSC ST', 'tissue_context': ''}	CL:0002033	short term hematopoietic stem cell	TRUE
HSCST	CL:0002033	short term hematopoietic stem cell	10244168	{'name': 'HSCST', 'full_name': 'short-term hematopoietic stem cells', 'paper_synonyms': 'HSC ST; short-term HSCs', 'tissue_context': ''}	CL:0002033	short term hematopoietic stem cell	TRUE
erythroid	CL:0000764	erythroid lineage cell	10244168	{'name': 'erythroid', 'full_name': None, 'paper_synonyms': None, 'tissue_context': ''}	CL:0000764	erythroid lineage cell	TRUE
Proerythroblasts	CL:0000547	proerythroblast	10244168	{'name': 'Proerythroblasts', 'full_name': 'Proerythroblasts', 'paper_synonyms': None, 'tissue_context': ''}	CL:0000547	proerythroblast	TRUE
basophilic erythroblasts	CL:0000549	basophilic erythroblast	10244168	{'name': 'basophilic erythroblasts', 'full_name': 'basophilic erythroblasts', 'paper_synonyms': None, 'tissue_context': ''}	CL:0000549	basophilic erythroblast	TRUE
polychromatic erythroblasts	CL:0000550	polychromatophilic erythroblast	10244168	{'name': 'polychromatic erythroblasts', 'full_name': 'polychromatic erythroblasts', 'paper_synonyms': None, 'tissue_context': ''}	CL:0000550	polychromatophilic erythroblast	TRUE
orthochromatic erythroblasts	CL:0000552	orthochromatic erythroblast	10244168	{'name': 'orthochromatic erythroblasts', 'full_name': 'orthochromatic erythroblasts', 'paper_synonyms': None, 'tissue_context': ''}	CL:0000552	orthochromatic erythroblast	TRUE
erythroblasts	CL:0000765	erythroblast	10244168	{'name': 'erythroblasts', 'full_name': 'erythroblasts', 'paper_synonyms': None, 'tissue_context': ''}	CL:0000765	erythroblast	TRUE
erythroid progenitors	CL:0000038	erythroid progenitor cell	10244168	{'name': 'erythroid progenitors', 'full_name': 'erythroid progenitors', 'paper_synonyms': 'erythroid precursors', 'tissue_context': ''}	CL:0000038	erythroid progenitor cell	TRUE
Lymphoid cell	CL:0000542	lymphocyte	10544225	{'name': 'Lymphoid cell', 'full_name': 'lymphoid cell', 'paper_synonyms': None, 'tissue_context': ''}	CL:0000542	lymphocyte	TRUE
T cell	CL:0000084	T cell	10544225	{'name': 'T cell', 'full_name': 'T cell', 'paper_synonyms': 'T cells', 'tissue_context': ''}	CL:0000084	T cell	TRUE
CD4+ T cells	CL:0000624	CD4-positive, alpha-beta T cell	10544225	{'name': 'CD4+ T cells', 'full_name': 'CD4+ T cells', 'paper_synonyms': 'CD4 + T cells', 'tissue_context': ''}	CL:0000624	CD4-positive, alpha-beta T cell	TRUE
Treg	CL:0000815	regulatory T cell	10544225	{'name': 'Treg', 'full_name': 'Treg', 'paper_synonyms': 'Tregs', 'tissue_context': ''}	CL:0000815	regulatory T cell	TRUE
CD3-expressing T cells	CL:0000084	T cell	10544225	{'name': 'CD3-expressing T cells', 'full_name': 'CD3-expressing T cells', 'paper_synonyms': None, 'tissue_context': ''}	CL:0000084	T cell	TRUE
NK cells	CL:0000623	natural killer cell	10544225	{'name': 'NK cells', 'full_name': 'NK cells', 'paper_synonyms': None, 'tissue_context': ''}	CL:0000623	natural killer cell	TRUE
CD79-expressing B cells	CL:0000236	B cell	10544225	{'name': 'CD79-expressing B cells', 'full_name': 'CD79-expressing B cells', 'paper_synonyms': 'CD79A+ B cells', 'tissue_context': ''}	CL:0000236	B cell	TRUE
B cell	CL:0000236	B cell	10544225	{'name': 'B cell', 'full_name': 'B cell', 'paper_synonyms': 'B cells', 'tissue_context': ''}	CL:0000236	B cell	TRUE
type 1 B cells	CL:0000819	B-1 B cell	10544225	{'name': 'type 1 B cells', 'full_name': 'type 1 B cells', 'paper_synonyms': 'B1', 'tissue_context': ''}	CL:0000819	B-1 B cell	TRUE
B1	CL:0000819	B-1 B cell	10544225	{'name': 'B1', 'full_name': 'type 1 B cells', 'paper_synonyms': 'B1 cells', 'tissue_context': ''}	CL:0000819	B-1 B cell	TRUE
type 2 B cells	CL:0000822	B-2 B cell	10544225	{'name': 'type 2 B cells', 'full_name': 'type 2 B cells', 'paper_synonyms': 'B2', 'tissue_context': ''}	CL:0000822	B-2 B cell	TRUE
B2	CL:0000822	B-2 B cell	10544225	{'name': 'B2', 'full_name': 'type 2 B cells', 'paper_synonyms': 'B2 cells', 'tissue_context': ''}	CL:0000822	B-2 B cell	TRUE
B1 cells	CL:0000819	B-1 B cell	10544225	{'name': 'B1 cells', 'full_name': 'type 1 B cells', 'paper_synonyms': 'B1', 'tissue_context': ''}	CL:0000819	B-1 B cell	TRUE
B2 cells	CL:0000822	B-2 B cell	10544225	{'name': 'B2 cells', 'full_name': 'type 2 B cells', 'paper_synonyms': 'B2', 'tissue_context': ''}	CL:0000822	B-2 B cell	TRUE
T cells	CL:0000084	T cell	10544225	{'name': 'T cells', 'full_name': 'T cells', 'paper_synonyms': 'T cell', 'tissue_context': ''}	CL:0000084	T cell	TRUE
EC	CL:0000115	endothelial cell	10607880	{'name': 'EC', 'full_name': 'endothelial cells', 'paper_synonyms': 'endothelial cells; EC', 'tissue_context': ''}	CL:0000115	endothelial cell	TRUE
DRG neurons	CL:1001451	sensory neuron of dorsal root ganglion	10607880	{'name': 'DRG neurons', 'full_name': 'dorsal root ganglion neurons', 'paper_synonyms': 'dorsal root ganglion (DRG) neurons; DRG neuronal cell culture', 'tissue_context': ''}	CL:1001451	sensory neuron of dorsal root ganglion	TRUE
oocyte	CL:0000023	oocyte	10530015	{'name': 'oocyte', 'full_name': 'oocyte', 'paper_synonyms': None, 'tissue_context': ''}	CL:0000023	oocyte	TRUE
M2 than M1 human macrophages	CL:0000890	alternatively activated macrophage	10465384	{'name': 'M2 than M1 human macrophages', 'full_name': 'M2-like human macrophages', 'paper_synonyms': 'M2-like (pro-tumor macrophages); M1-like (anti-tumor macrophages); human monocyte-derived macrophages (HMDMs); THP-1 macrophages', 'tissue_context': ''}	CL:0000890	alternatively activated macrophage	TRUE
